,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
"Ottawa-Gatineau, Ontario part (6,52)","Possession, cocaine",37.5,21.19,19.3,21.06,25.09
"Ottawa-Gatineau, Ontario part (6,52)","Total, possession, other Controlled Drugs and Substances Act drugs",12.25,10.59,12.65,13.44,15.16
"Ottawa-Gatineau, Ontario part (6,52)","Heroin, possession",0.22,0,0.21,0.32,0.31
"Ottawa-Gatineau, Ontario part (6,52)","Other Controlled Drugs and Substances Act, possession",11.81,9.84,11.58,12.81,13.69
"Ottawa-Gatineau, Ontario part (6,52)","Methamphetamines (crystal meth), possession",0,0.22,0.11,0,0.31
"Ottawa-Gatineau, Ontario part (6,52)","Methylenedioxyamphetamine (ecstasy), possession",0.22,0.54,0.75,0.32,0.84
"Ottawa-Gatineau, Ontario part (6,52)","Total cannabis, trafficking, production or distribution",21.43,23.89,21.77,18.63,15.37
"Ottawa-Gatineau, Ontario part (6,52)","Cannabis, trafficking",16.51,20.21,18.23,15.98,12.96
"Ottawa-Gatineau, Ontario part (6,52)","Cannabis, importation and exportation",0.87,0.65,0.75,0.42,0
"Ottawa-Gatineau, Ontario part (6,52)","Cannabis, production",4.05,3.03,2.79,2.22,2.4
"Ottawa-Gatineau, Ontario part (6,52)","Total cocaine, trafficking, production or distribution",33.46,25.4,19.19,17.25,16.51
"Ottawa-Gatineau, Ontario part (6,52)","Cocaine, trafficking",32.8,24.65,18.66,17.04,15.89
"Ottawa-Gatineau, Ontario part (6,52)","Cocaine, importation and exportation",0.11,0.22,0.32,0,0.42
"Ottawa-Gatineau, Ontario part (6,52)","Cocaine, production",0.55,0.54,0.21,0.21,0.21
"Ottawa-Gatineau, Ontario part (6,52)","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",4.59,7.57,7.61,5.61,4.91
"Ottawa-Gatineau, Ontario part (6,52)","Heroin, trafficking",0.33,0.11,0.64,0.21,0.21
"Ottawa-Gatineau, Ontario part (6,52)","Other Controlled Drugs and Substances Act, trafficking",3.17,3.68,4.29,3.39,2.61
"Ottawa-Gatineau, Ontario part (6,52)","Methamphetamines (crystal meth), trafficking",0,0,0.21,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Methylenedioxyamphetamine (ecstasy), trafficking",0,0.54,0.11,0.11,0.21
"Ottawa-Gatineau, Ontario part (6,52)","Heroin, importation and exportation",0.11,0.11,0.11,0.11,0.1
"Ottawa-Gatineau, Ontario part (6,52)","Other Controlled Drugs and Substances Act, importation and exportation",0.77,2.81,1.93,1.59,1.57
"Ottawa-Gatineau, Ontario part (6,52)","Methamphetamines (crystal meth), importation and exportation",,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Heroin, production",,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Other Controlled Drugs and Substances Act, production",0.22,0.32,0.32,0.21,0.21
"Ottawa-Gatineau, Ontario part (6,52)","Methamphetamines (crystal meth), production",,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Youth Criminal Justice Act,3.61,5.95,3.97,1.8,2.3
"Ottawa-Gatineau, Ontario part (6,52)",Total other Federal Statutes,13.23,14.92,18.98,29.11,18.5
"Ottawa-Gatineau, Ontario part (6,52)",Bankruptcy Act,0.33,0.11,0,0.85,0.63
"Ottawa-Gatineau, Ontario part (6,52)",Income Tax Act,0,0.11,0.11,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Canada Shipping Act,3.17,4,6.43,3.81,4.29
"Ottawa-Gatineau, Ontario part (6,52)",Canada Health Act,0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Customs Act,0.77,0.32,0.32,0.11,0
"Ottawa-Gatineau, Ontario part (6,52)",Competition Act,0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Excise Act,5.25,4.97,3,2.54,1.88
"Ottawa-Gatineau, Ontario part (6,52)",Total Immigration and Refugee Protection Act (46),0.87,1.19,0.75,0.74,1.05
"Ottawa-Gatineau, Ontario part (6,52)",Firearms Act,0,0,0,0.11,0
"Ottawa-Gatineau, Ontario part (6,52)",National Defense Act,0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Other federal statutes,2.84,4.22,8.36,20.96,10.66
"Kingston, Ontario (8)","Total, all violations",6047.91,5472.09,5423.67,5365.43,5524.86
"Kingston, Ontario (8)","Total, all Criminal Code violations (including traffic)",5789.51,5309.65,5228.85,5160.14,5318.47
"Kingston, Ontario (8)","Total, all Criminal Code violations (excluding traffic)",5654.91,5173.02,5129.57,5012.53,5165.69
"Kingston, Ontario (8)",Total violent Criminal Code violations (16),1189.14,1127.66,999.06,1040.71,1091.66
"Kingston, Ontario (8)","Homicide (17,24)",0.63,2.52,1.87,0,0
"Kingston, Ontario (8)",Total other violations causing death,0,0,0,0,0
"Kingston, Ontario (8)",Attempted murder,1.27,0.63,0.62,1.24,1.23
"Kingston, Ontario (8)","Sexual assault, level 3, aggravated",0,0,0,0,0
"Kingston, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",0.63,0,1.25,0,1.85
"Kingston, Ontario (8)","Sexual assault, level 1",76.82,61.07,73.68,71.94,94.87
"Kingston, Ontario (8)",Total sexual violations against children (26),10.16,9.44,6.87,8.68,11.71
"Kingston, Ontario (8)","Assault, level 3, aggravated",8.89,6.3,6.24,6.82,6.78
"Kingston, Ontario (8)","Assault, level 2, weapon or bodily harm",86.34,82.48,74.93,78.15,80.7
"Kingston, Ontario (8)","Assault, level 1",402.52,403.59,367.78,368.4,393.05
"Kingston, Ontario (8)","Total assaults against a peace officer (25,35)",35.55,35.89,21.85,28.53,25.26
"Kingston, Ontario (8)",Total other assaults,10.16,8.81,7.49,4.34,3.08
"Kingston, Ontario (8)","Total firearms; use of, discharge, pointing",0.63,0.63,1.25,0,1.23
"Kingston, Ontario (8)",Total robbery (18),29.84,46.59,23.1,20.47,22.18
"Kingston, Ontario (8)",Total forcible confinement or kidnapping (34),15.87,16.37,11.86,13.64,12.32
"Kingston, Ontario (8)",Total abduction,0,0,1.87,0,0.62
"Kingston, Ontario (8)",Extortion,1.9,2.52,0.62,3.72,4.93
"Kingston, Ontario (8)",Criminal harassment (36),174.59,92.56,98.03,98.61,92.41
"Kingston, Ontario (8)",Uttering threats,195.54,197.07,139.87,156.91,162.02
"Kingston, Ontario (8)",Threatening or harassing phone calls,133.96,156.15,157.98,171.18,163.26
"Kingston, Ontario (8)",Total other violent violations,3.81,5.04,1.87,8.06,14.17
"Kingston, Ontario (8)",Total property crime violations,3841.69,3476.8,3597.25,3520.31,3527.58
"Kingston, Ontario (8)",Total breaking and entering,499.02,413.67,492.04,466.4,377.65
"Kingston, Ontario (8)","Total possession of stolen property (42,46)",67.3,56.04,55.57,55.2,33.27
"Kingston, Ontario (8)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0
"Kingston, Ontario (8)",Total theft of motor vehicle (46),149.2,134.74,105.53,79.39,80.7
"Kingston, Ontario (8)","Total theft over $5,000 (non-motor vehicle)",29.84,59.19,29.97,32.25,25.26
"Kingston, Ontario (8)","Total theft under $5,000 (non-motor vehicle)",1822.75,1685.51,1761.47,1811.63,1849.42
"Kingston, Ontario (8)",Fraud (30),191.1,185.74,224.79,231.34,226.1
"Kingston, Ontario (8)",Identity theft (30),0,0,0,0,1.85
"Kingston, Ontario (8)",Identity fraud (30),,,0,2.48,0
"Kingston, Ontario (8)",Total mischief,1065.34,919.26,906.03,824.88,911.77
"Kingston, Ontario (8)",Arson,17.14,22.67,21.85,16.75,21.56
"Kingston, Ontario (8)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Kingston, Ontario (8)",Total other Criminal Code violations,624.09,568.55,533.25,451.51,546.45
"Kingston, Ontario (8)",Counterfeiting (19),0.63,1.89,8.74,3.1,1.23
"Kingston, Ontario (8)",Total weapons violations,51.43,35.89,34.34,21.71,24.64
"Kingston, Ontario (8)","Child pornography (27,50,52)",3.81,8.19,6.87,6.82,3.7
"Kingston, Ontario (8)",Total prostitution,0.63,5.67,8.74,0,0.62
"Kingston, Ontario (8)",Disturb the peace (21),29.2,21.41,58.07,19.23,24.64
"Kingston, Ontario (8)",Total administration of justice violations,419.02,387.22,327.82,326.85,419.54
"Kingston, Ontario (8)",Total other violations,119.36,108.3,88.67,73.8,72.08
"Kingston, Ontario (8)",Total Criminal Code traffic violations,134.6,136.63,99.28,147.61,152.78
"Kingston, Ontario (8)",Total impaired driving (49),95.87,97.59,64.94,94.89,74.54
"Kingston, Ontario (8)","Impaired operation, causing death",0,0,0,0,0
"Kingston, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Kingston, Ontario (8)","Impaired operation, causing bodily harm",1.27,0,0,0.62,0
"Kingston, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Kingston, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",92.06,91.93,63.69,90.55,67.77
"Kingston, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",,,0.62,1.24,3.7
"Kingston, Ontario (8)","Impaired operation, failure to provide breath sample",2.54,4.41,0.62,2.48,1.85
"Kingston, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,1.23
"Kingston, Ontario (8)","Impaired operation, failure to provide blood sample",0,1.26,0,0,0
"Kingston, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Kingston, Ontario (8)",Total other Criminal Code traffic violations,38.73,39.04,34.34,52.72,78.24
"Kingston, Ontario (8)","Dangerous operation, causing death",0.63,0,0,0,0
"Kingston, Ontario (8)","Dangerous operation, causing bodily harm",0,0.63,0.62,1.24,0
"Kingston, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",14.6,17.63,14.36,8.68,16.63
"Kingston, Ontario (8)","Dangerous operation evading police, causing death",0,0,0,0,0
"Kingston, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Kingston, Ontario (8)",Dangerous operation of motor vehicle evading police,4.44,0.63,0.62,1.24,0.62
"Kingston, Ontario (8)",Total fail to stop or remain (46),3.81,5.67,4.37,28.53,31.42
"Kingston, Ontario (8)",Driving while prohibited,13.97,13.22,12.49,10.54,28.95
"Kingston, Ontario (8)",Other Criminal Code traffic violations,1.27,0.63,1.25,2.48,0.62
"Kingston, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Kingston, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Kingston, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Kingston, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Kingston, Ontario (8)",Dangerous operation of motor vehicle while street racing,0,0.63,0.62,0,0
"Kingston, Ontario (8)",Total Federal Statute violations,258.4,162.44,194.82,205.29,206.38
"Kingston, Ontario (8)",Total drug violations,224.75,126.56,157.98,169.32,170.03
"Kingston, Ontario (8)","Possession, cannabis",73.65,27.7,56.82,45.28,35.12
"Kingston, Ontario (8)","Possession, cocaine",24.13,3.15,7.49,9.3,7.39
"Kingston, Ontario (8)","Total, possession, other Controlled Drugs and Substances Act drugs",27.3,30.85,18.73,15.51,22.79
"Kingston, Ontario (8)","Heroin, possession",1.27,0,3.12,0,0
"Kingston, Ontario (8)","Other Controlled Drugs and Substances Act, possession",25.4,30.85,14.36,14.89,18.48
"Kingston, Ontario (8)","Methamphetamines (crystal meth), possession",0.63,0,1.25,0.62,4.31
"Kingston, Ontario (8)","Methylenedioxyamphetamine (ecstasy), possession",0,0,0,0,0
"Kingston, Ontario (8)","Total cannabis, trafficking, production or distribution",50.79,24.56,39.34,52.1,65.92
"Kingston, Ontario (8)","Cannabis, trafficking",34.92,18.26,28.72,44.66,55.45
"Kingston, Ontario (8)","Cannabis, importation and exportation",1.9,3.15,2.5,0.62,1.85
"Kingston, Ontario (8)","Cannabis, production",13.97,3.15,8.12,6.82,8.62
"Kingston, Ontario (8)","Total cocaine, trafficking, production or distribution",33.65,10.7,19.36,22.33,17.25
"Kingston, Ontario (8)","Cocaine, trafficking",33.01,10.07,19.36,21.71,17.25
"Kingston, Ontario (8)","Cocaine, importation and exportation",0.63,0.63,0,0.62,0
"Kingston, Ontario (8)","Cocaine, production",,,0,0,0
"Kingston, Ontario (8)","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",15.24,29.59,16.23,24.81,21.56
"Kingston, Ontario (8)","Heroin, trafficking",0,0.63,4.37,0,1.23
"Kingston, Ontario (8)","Other Controlled Drugs and Substances Act, trafficking",13.97,28.96,10.62,20.47,11.71
"Kingston, Ontario (8)","Methamphetamines (crystal meth), trafficking",0.63,0,0,1.24,6.16
"Kingston, Ontario (8)","Methylenedioxyamphetamine (ecstasy), trafficking",0,0,0,0.62,0
"Kingston, Ontario (8)","Heroin, importation and exportation",0,0,0,0,0
"Kingston, Ontario (8)","Other Controlled Drugs and Substances Act, importation and exportation",0.63,0,0,0,0
"Kingston, Ontario (8)","Methamphetamines (crystal meth), importation and exportation",0,0,0,0,0
"Kingston, Ontario (8)","Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
"Kingston, Ontario (8)","Heroin, production",,,0,0,0
"Kingston, Ontario (8)","Other Controlled Drugs and Substances Act, production",0,0,1.25,2.48,2.46
"Kingston, Ontario (8)","Methamphetamines (crystal meth), production",0,0,0,0,0
"Kingston, Ontario (8)","Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
"Kingston, Ontario (8)","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
"Kingston, Ontario (8)",Youth Criminal Justice Act,20.95,25.81,24.35,20.47,12.32
"Kingston, Ontario (8)",Total other Federal Statutes,12.7,10.07,12.49,15.51,24.03
"Kingston, Ontario (8)",Bankruptcy Act,,,0,0,0
"Kingston, Ontario (8)",Income Tax Act,0.63,0,0,0,0
"Kingston, Ontario (8)",Canada Shipping Act,1.27,3.78,3.75,6.82,8.62
"Kingston, Ontario (8)",Canada Health Act,0,0,0,0,0.62
"Kingston, Ontario (8)",Customs Act,0,0,1.25,0,0.62
"Kingston, Ontario (8)",Competition Act,0,0,0,0,0
"Kingston, Ontario (8)",Excise Act,5.08,3.78,3.75,3.1,6.16
"Kingston, Ontario (8)",Total Immigration and Refugee Protection Act (46),1.27,0.63,0.62,1.24,0.62
"Kingston, Ontario (8)",Firearms Act,0,0,0,3.72,2.46
"Kingston, Ontario (8)",National Defense Act,0,0,0,0,0
"Kingston, Ontario (8)",Other federal statutes,4.44,1.89,3.12,0.62,4.93
"Peterborough, Ontario (8)","Total, all violations",5867.08,5754.17,5426.05,5180.71,5231.61
"Peterborough, Ontario (8)","Total, all Criminal Code violations (including traffic)",5579.09,5477.31,5109.78,4839.18,4950.45
"Peterborough, Ontario (8)","Total, all Criminal Code violations (excluding traffic)",5353.53,5248.67,4876.1,4562.82,4647.85
"Peterborough, Ontario (8)",Total violent Criminal Code violations (16),952.18,897.92,838.97,836.5,812.16
"Peterborough, Ontario (8)","Homicide (17,24)",0.83,0.83,1.65,2.47,1.65
"Peterborough, Ontario (8)",Total other violations causing death,0.83,1.66,0,0,0
"Peterborough, Ontario (8)",Attempted murder,8.32,2.49,1.65,0.82,4.12
"Peterborough, Ontario (8)","Sexual assault, level 3, aggravated",,,1.65,0,0
"Peterborough, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",1.66,1.66,2.48,0,1.65
"Peterborough, Ontario (8)","Sexual assault, level 1",92.39,59.86,61.11,66.82,65.96
"Peterborough, Ontario (8)",Total sexual violations against children (26),2.5,3.33,1.65,4.12,6.6
"Peterborough, Ontario (8)","Assault, level 3, aggravated",7.49,5.82,4.13,9.9,6.6
"Peterborough, Ontario (8)","Assault, level 2, weapon or bodily harm",79.07,70.67,79.27,74.25,109.66
"Peterborough, Ontario (8)","Assault, level 1",436.14,460.6,397.19,407.53,343
"Peterborough, Ontario (8)","Total assaults against a peace officer (25,35)",14.15,10.81,12.39,22.27,22.26
"Peterborough, Ontario (8)",Total other assaults,5.83,4.16,3.3,0,6.6
"Peterborough, Ontario (8)","Total firearms; use of, discharge, pointing",0,1.66,2.48,0.82,5.77
"Peterborough, Ontario (8)",Total robbery (18),54.93,59.03,65.23,51.97,55.24
"Peterborough, Ontario (8)",Total forcible confinement or kidnapping (34),11.65,9.98,10.73,4.95,8.25
"Peterborough, Ontario (8)",Total abduction,1.66,2.49,0.83,0,2.47
"Peterborough, Ontario (8)",Extortion,0,0,0,0.82,0.82
"Peterborough, Ontario (8)",Criminal harassment (36),64.09,60.69,61.93,57.75,62.66
"Peterborough, Ontario (8)",Uttering threats,143.99,132.19,110.65,119.62,93.17
"Peterborough, Ontario (8)",Threatening or harassing phone calls,21.64,1.66,5.78,4.95,4.95
"Peterborough, Ontario (8)",Total other violent violations,4.99,8.31,14.86,7.42,10.72
"Peterborough, Ontario (8)",Total property crime violations,3623.12,3685.63,3410.38,3091.1,3151.33
"Peterborough, Ontario (8)",Total breaking and entering,385.37,492.19,584.64,525.5,484
"Peterborough, Ontario (8)","Total possession of stolen property (42,46)",127.35,123.05,136.25,88.27,48.65
"Peterborough, Ontario (8)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0
"Peterborough, Ontario (8)",Total theft of motor vehicle (46),184.78,126.37,109,85.8,98.12
"Peterborough, Ontario (8)","Total theft over $5,000 (non-motor vehicle)",24.97,24.94,23.12,35.47,18.96
"Peterborough, Ontario (8)","Total theft under $5,000 (non-motor vehicle)",1898.54,1922.21,1683.72,1570.71,1635.03
"Peterborough, Ontario (8)",Fraud (30),249.7,266.05,213.05,187.26,214.38
"Peterborough, Ontario (8)",Identity theft (30),0,0,0,0.82,0
"Peterborough, Ontario (8)",Identity fraud (30),,,2.48,9.07,23.91
"Peterborough, Ontario (8)",Total mischief,743.27,722.49,645.74,579.12,618.39
"Peterborough, Ontario (8)",Arson,9.16,8.31,12.39,9.07,9.89
"Peterborough, Ontario (8)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Peterborough, Ontario (8)",Total other Criminal Code violations,778.23,665.13,626.75,635.21,684.36
"Peterborough, Ontario (8)",Counterfeiting (19),1.66,0.83,3.3,0.82,0
"Peterborough, Ontario (8)",Total weapons violations,43.28,24.94,28.08,33,22.26
"Peterborough, Ontario (8)","Child pornography (27,50,52)",2.5,2.49,4.95,4.95,4.12
"Peterborough, Ontario (8)",Total prostitution,3.33,1.66,0.83,1.65,0
"Peterborough, Ontario (8)",Disturb the peace (21),29.96,26.61,11.56,24.75,42.05
"Peterborough, Ontario (8)",Total administration of justice violations,656.71,551.22,542.52,517.25,560.68
"Peterborough, Ontario (8)",Total other violations,40.78,57.37,35.51,52.8,55.24
"Peterborough, Ontario (8)",Total Criminal Code traffic violations,225.56,228.64,233.69,276.36,302.6
"Peterborough, Ontario (8)",Total impaired driving (49),172.29,180.42,187.45,219.44,236.64
"Peterborough, Ontario (8)","Impaired operation, causing death",,0.83,0,0,0
"Peterborough, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Peterborough, Ontario (8)","Impaired operation, causing bodily harm",0,0.83,0,1.65,0
"Peterborough, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Peterborough, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",160.64,166.28,165.15,202.94,223.45
"Peterborough, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",4.16,9.15,14.04,11.55,6.6
"Peterborough, Ontario (8)","Impaired operation, failure to provide breath sample",7.49,3.33,8.26,3.3,6.6
"Peterborough, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,0
"Peterborough, Ontario (8)","Impaired operation, failure to provide blood sample",0,0,0,0,0
"Peterborough, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Peterborough, Ontario (8)",Total other Criminal Code traffic violations,53.27,48.22,46.24,56.92,65.96
"Peterborough, Ontario (8)","Dangerous operation, causing death",,,0,0,0
"Peterborough, Ontario (8)","Dangerous operation, causing bodily harm",0,1.66,0,0.82,0.82
"Peterborough, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",23.31,18.29,16.52,15.67,20.61
"Peterborough, Ontario (8)","Dangerous operation evading police, causing death",,,0,0,0
"Peterborough, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Peterborough, Ontario (8)",Dangerous operation of motor vehicle evading police,7.49,3.33,2.48,2.47,2.47
"Peterborough, Ontario (8)",Total fail to stop or remain (46),3.33,5.82,4.13,1.65,0.82
